Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
12,Harrison Barnes,SF,20,GSW,12,12,38.4,6.0,13.5,.444,1.6,4.3,.365,4.4,9.2,.482,.503,2.5,2.9,.857,1.5,4.9,6.4,1.3,0.6,0.4,1.3,2.8,16.1,barneha02
13,Matt Barnes,SF,32,LAC,6,0,27.0,4.0,7.3,.545,1.2,2.8,.412,2.8,4.5,.630,.625,2.7,3.2,.842,1.2,3.8,5.0,0.5,0.7,0.3,0.8,3.8,11.8,barnema02
14,Brandon Bass,PF,27,BOS,6,5,34.0,2.3,4.8,.483,0.0,0.0,,2.3,4.8,.483,.483,2.0,2.5,.800,1.3,5.3,6.7,1.2,0.3,0.2,0.8,2.8,6.7,bassbr01
15,Shane Battier,SF,34,MIA,22,0,17.8,1.2,4.2,.290,1.2,4.0,.295,0.0,0.2,.200,.430,1.0,1.3,.821,0.4,1.3,1.7,0.5,0.2,0.3,0.2,2.2,4.7,battish01
16,Jerryd Bayless,PG,24,MEM,15,0,21.3,3.3,9.1,.358,1.2,3.9,.305,2.1,5.2,.397,.423,1.5,1.7,.885,0.1,1.9,2.0,2.1,0.5,0.3,1.1,2.3,9.3,bayleje01
17,Aron Baynes,C,26,SAS,4,1,5.8,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.0,0.0,,0.5,0.8,1.3,0.0,0.0,0.0,0.3,1.0,2.0,baynear01
18,Kent Bazemore,SG,23,GSW,9,0,1.8,0.1,0.9,.125,0.0,0.1,.000,0.1,0.8,.143,.125,0.0,0.4,.000,0.1,0.4,0.6,0.2,0.1,0.0,0.2,0.3,0.2,bazemke01
19,Marco Belinelli,SG,26,CHI,12,7,27.1,3.7,8.9,.411,1.3,3.9,.340,2.3,5.0,.467,.486,2.4,2.8,.879,0.0,2.9,2.9,2.6,0.4,0.0,1.3,2.2,11.1,belinma01
20,Patrick Beverley,PG,24,HOU,6,5,33.3,4.7,10.8,.431,1.3,4.0,.333,3.3,6.8,.488,.492,1.2,1.2,1.000,1.8,3.7,5.5,2.8,1.2,0.7,1.0,4.0,11.8,beverpa01
21,Andris Biedriņš,C,26,GSW,3,0,5.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.7,1.7,2.3,0.3,0.0,0.7,0.3,2.0,0.0,biedran01
22,Chauncey Billups,SG,36,LAC,6,6,19.2,1.8,6.0,.306,1.0,2.8,.353,0.8,3.2,.263,.389,1.5,1.8,.818,0.3,1.7,2.0,1.0,0.2,0.2,1.3,1.7,6.2,billuch01
